OP;                                                              CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::_foobar;                                                   YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_abs;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_acos;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_add;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_addcdiv;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_addcmul;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_asin;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_atan;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_ceil;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_cos;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_cosh;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_div;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_erf;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_erfc;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_exp;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_expm1;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_floor;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_frac;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_lgamma;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_log;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_log10;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_log1p;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_log2;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_maximum;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_minimum;                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_mul;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_neg;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_norm;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_reciprocal;                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_round;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_sigmoid;                                          YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_sin;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_sinh;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_sqrt;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_sub;                                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_foreach_tan;                                              YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_tanh;                                             YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_trunc;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_foreach_zero;                                             YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_fused_adam;                                               NO;  YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_fused_dropout;                                            NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_fused_moving_avg_obs_fq_helper;                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_histogramdd_bin_edges;                                    YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_histogramdd_from_bin_cts;                                 YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_histogramdd_from_bin_tensors;                             YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_index_put_impl;                                           YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_linalg_det;                                               YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_linalg_eigh;                                              YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_linalg_slogdet;                                           YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_linalg_solve_ex;                                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_linalg_svd;                                               YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_local_scalar_dense;                                       YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_log_softmax;                                              YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_log_softmax_backward_data;                                YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_logcumsumexp;                                             YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_make_per_channel_quantized_tensor;                        YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_make_per_tensor_quantized_tensor;                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_masked_scale;                                             NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_masked_softmax;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_masked_softmax_backward;                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_native_decoder_only_multi_head_attention;                 YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_native_multi_head_attention;                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_nested_from_padded;                                       YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_nested_tensor_from_mask;                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_nested_tensor_from_mask_left_aligned;                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_nested_view_from_buffer;                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_pdist_backward;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_pdist_forward;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_pin_memory;                                               NO;  YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_reshape_alias;                                            YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_sample_dirichlet;                                         YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_scaled_dot_product_attention_forward;                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_segment_reduce_backward;                                  YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_slow_conv2d_backward;                                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_slow_conv2d_forward;                                      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_softmax;                                                  YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_softmax_backward_data;                                    YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_spdiags;                                                  YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_stack;                                                    YES; NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::_standard_gamma;                                           YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_standard_gamma_grad;                                      YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_symeig_helper;                                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_test_autograd_multiple_dispatch;                          NO;  YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_test_autograd_multiple_dispatch_view;                     NO;  YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_test_autograd_multiple_dispatch_view_copy;                NO;  YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_test_optional_filled_intlist;                             YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_test_optional_floatlist;                                  YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_test_optional_intlist;                                    YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::_thnn_fused_gru_cell;                                      NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_thnn_fused_gru_cell_backward;                             NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_thnn_fused_lstm_cell;                                     NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_thnn_fused_lstm_cell_backward_impl;                       NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_to_copy;                                                  NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_torch_cuda_cu_linker_symbol_op;                           NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_transform_bias_rescale_qkv;                               YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_transformer_decoder_only_layer_fwd;                       YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_transformer_encoder_layer_fwd;                            YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_triton_multi_head_attention;                              NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_triton_scaled_dot_attention;                              NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_unique;                                                   YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_unique2;                                                  YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_unsafe_view;                                              NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::_upsample_bicubic2d_aa;                                    YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_bicubic2d_aa_backward;                           YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_bilinear2d_aa;                                   YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_bilinear2d_aa_backward;                          YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_nearest_exact1d;                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_nearest_exact1d_backward;                        YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_nearest_exact2d;                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_nearest_exact2d_backward;                        YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_nearest_exact3d;                                 YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_upsample_nearest_exact3d_backward;                        YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::_use_cudnn_ctc_loss;                                       NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_validate_compressed_sparse_indices;                       YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::_weight_norm_interface;                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::_weight_norm_interface_backward;                           YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::abs;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::acos;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::acosh;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::adaptive_avg_pool2d;                                       YES; YES; YES; YES;      DF_DT; NO;      YES;  YES;         11; alexnet, densenet161, googlenet, inception_v3, mobilenet_v2, resnet18, resnet50, resnext50_32x4d, squeezenet1_0, vgg16, wide_resnet50_2
aten::adaptive_avg_pool3d;                                       YES; YES; NO;  YES;      DF_DT; YES;     YES;  YES;          1; r3d_18
aten::adaptive_avg_pool3d_backward;                              YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::adaptive_max_pool2d;                                       YES; YES; NO;  NO;       DT_DT; YES;     YES;  NO;           0;
aten::adaptive_max_pool2d_backward;                              YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::adaptive_max_pool3d;                                       YES; YES; NO;  NO;       DT_DT; YES;     YES;  NO;           0;
aten::adaptive_max_pool3d_backward;                              YES; YES; NO;  NO;       DT_DT; YES;     NO;   NO;           0;
aten::add;                                                       YES; YES; YES; NO;       DT_DT; NO;      YES;  YES;          9; googlenet, inception_v3, mnasnet1_0, mobilenet_v2, r3d_18, resnet18, resnet50, resnext50_32x4d, wide_resnet50_2
aten::addbmm;                                                    YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::addcdiv;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::addcmul;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::addmm;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::addmv;                                                     YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::addr;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::alias;                                                     NO;  NO;  YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::all;                                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::amax;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::amin;                                                      YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::aminmax;                                                   YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::angle;                                                     YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::any;                                                       YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::arange;                                                    YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::argmax;                                                    YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::argmin;                                                    YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::argsort;                                                   YES; YES; NO;  YES;      DF_DT; YES;     NO;   NO;           0;
aten::as_strided;                                                YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::asin;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::asinh;                                                     YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
aten::atan;                                                      YES; YES; YES; NO;       DT_DT; NO;      YES;  NO;           0;
