OP;                                                                  CPU; GPU; HPU; COMPOUND; DI_DE; MISSING; TERT; IN_TOPOS; COUNT; TOPOS_LIST
aten::miopen_batch_norm_backward.out;                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::miopen_convolution;                                            NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution.out;                                        NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::miopen_convolution_add_relu;                                   NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution_relu;                                       NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution_transpose;                                  NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_convolution_transpose.out;                              NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::miopen_depthwise_convolution;                                  NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_depthwise_convolution.out;                              NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::miopen_rnn;                                                    NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_rnn.out;                                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::miopen_rnn_backward;                                           NO;  YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::miopen_rnn_backward.out;                                       NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mish;                                                          YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mish.out;                                                      YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::mish_;                                                         YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mish_backward;                                                 YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_adaptive_avg_pool2d;                                    NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_adaptive_avg_pool2d.out;                                NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_adaptive_avg_pool2d_backward;                           NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_adaptive_avg_pool2d_backward.out;                       NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_convolution;                                            NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_convolution.out;                                        NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_linear;                                                 NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_linear.out;                                             NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_linear_backward;                                        NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_linear_backward.out;                                    NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_linear_backward_input;                                  NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_linear_backward_input.out;                              NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_linear_backward_weights;                                NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_linear_backward_weights.out;                            NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_max_pool2d;                                             NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_max_pool2d.out;                                         NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_max_pool2d_backward;                                    NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_max_pool2d_backward.out;                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_max_pool3d;                                             NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_max_pool3d.out;                                         NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_max_pool3d_backward;                                    NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_max_pool3d_backward.out;                                NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_reorder_conv2d_weight;                                  NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_reorder_conv2d_weight.out;                              NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_reorder_conv3d_weight;                                  NO;  NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_reorder_conv3d_weight.out;                              NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_rnn_layer;                                              YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_rnn_layer.out;                                          NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mkldnn_rnn_layer_backward;                                     YES; NO;  NO;  NO;       DT_DF; NO;      NO;   NO;           0;
aten::mkldnn_rnn_layer_backward.out;                                 NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::mm;                                                            YES; YES; YES; NO;       DT_DT; NO;      NO;   NO;           0;
aten::mm.out;                                                        YES; YES; YES; NO;       DT_DF; NO;      NO;   NO;           0;
aten::mode;                                                          YES; YES; NO;  NO;       DT_DF; YES;     NO;   NO;           0;
aten::mode.dimname;                                                  NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::mode.dimname_out;                                              NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
aten::mode.values;                                                   NO;  NO;  NO;  NO;       DT_DT; NO;      NO;   NO;           0;
aten::moveaxis.int;                                                  NO;  NO;  NO;  YES;      DF_DT; NO;      NO;   NO;           0;
